"","baseMean","logFC","lfcSE","stat","pvalue","padj","FDR","Significance","group","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"191",4.02380952380952,0.0198996047478934,0.23685794326652,0.0840149351693968,0.933044557203684,1,1,"Not Significant","conventional","56c023daec681f045c8db3fd2eab1e35","Bacteria","Desulfobacterota_I","Desulfobacteria","Desulfobacterales","BuS5","BuS5",NA
"192",1,4.17217220504105e-17,0.465828264289191,8.95645997652673e-17,1,1,1,"Not Significant","conventional","56f9bee03d24430562370593f6542dab","Bacteria","Verrucomicrobiota","Kiritimatiellae_777642","Kiritimatiellales_777642","Pontiellaceae_777639","GCA-2712105",NA
"193",15.4047619047619,0.267741431477261,0.122862177418128,2.17920141986476,0.0293167085101303,1,1,"Not Significant","conventional","570ad25901f24ab775bbf8f8ce1582f0","Bacteria","Actinobacteriota","Actinomycetia","Sporichthyales","Sporichthyaceae","Longivirga",NA
"194",0.976190476190476,-0.0824621417833457,0.473344716840747,-0.174211602769593,0.861699167280535,1,1,"Not Significant","FTPIG","571a0dbab269a51f2f86c21127ae2eef","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Nanosyncoccaceae","Nanosyncoccus",NA
"195",1,4.17217220504105e-17,0.465828264289191,8.95645997652673e-17,1,1,1,"Not Significant","conventional","57a0dad6500ac8cdecd92e8d749a6fa9","Bacteria","Omnitrophota","Koll11","UBA10015","GCA-002753745","GCA-2753745",NA
"196",3.35714285714286,0.0238467902927238,0.260602920596016,0.0915062280890198,0.927090357701494,1,1,"Not Significant","conventional","57b3beebda7862a64be26dc80e2863c2","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_747617","D2472","SCGC-AAA076-P13",NA
"197",0.976190476190476,-0.0824621417833457,0.473344716840747,-0.174211602769593,0.861699167280534,1,1,"Not Significant","FTPIG","58af92cd08d40f24256aa323adea9d3e","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae_900466","ELB16-189",NA
"198",11.6428571428571,-0.239108529476868,0.148603852157557,-1.60903318457286,0.107609085640856,1,1,"Not Significant","FTPIG","59a6ea1c719be83c7fb0faefdaf02322","Bacteria","Bacteroidota","Bacteroidia","NS11-12g_966746","UBA9320","UBA9320",NA
"199",1,4.17217220504105e-17,0.465828264289191,8.95645997652673e-17,1,1,1,"Not Significant","conventional","5a04b506d7b1fd6be7de4a39ae931a3d","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales_877923","Flavobacteriaceae","MED-G14",NA
"200",12.047619047619,0.00166307837812058,0.13749018425935,0.012095978975368,0.990349040471335,1,1,"Not Significant","conventional","5a04fa326c56f0bd675b11a2cbefebe2","Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","TMED27",NA
