"","baseMean","logFC","lfcSE","stat","pvalue","padj","FDR","Significance","group","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"82",1,3.90814484639528e-17,0.451610877740721,8.65378811499537e-17,1,1,1,"Not Significant","conventional","27f76b3ba03fc3bd51ac89f11e3118bd","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales_A_501396","Rhizobiaceae_A_499470","Bartonella",NA
"83",2,4.57900798023778e-08,0.326869248876842,1.40086838880431e-07,0.999999888226874,1,1,"Not Significant","conventional","28484fdb8f1d93f6b85e774e2f39fe0a","Bacteria","Bdellovibrionota_C","UBA2361","SZUA-149","SZUA-149","SZUA-149",NA
"84",6.04761904761905,0.0264722514074828,0.191504526305904,0.138233032493429,0.890056249533607,1,1,"Not Significant","conventional","28c9f466c79571f79ce4496550449a54","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Tangfeifania",NA
"85",1,3.90814484639528e-17,0.451610877740721,8.65378811499537e-17,1,1,1,"Not Significant","conventional","28dcbec0eac584317c6b65c741ceb39b","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter_476001",NA
"86",1.02380952380952,-0.058893672243194,0.447909448003794,-0.131485666367759,0.895391124713209,1,1,"Not Significant","FTPIG","29bccc4126e6c24bb6ec502fd067480f","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales_A_737866","Enterobacteriaceae_A","Cedecea",NA
"87",1,3.90814484639528e-17,0.451610877740721,8.65378811499537e-17,1,1,1,"Not Significant","conventional","2a1d0e758c0ecb4d8364dd0d757632eb","Bacteria","Dependentiae","Babeliae","Babeliales","Vermiphilaceae","GWF2-30-66",NA
"88",3.4047619047619,-0.0531112827491009,0.256222510147892,-0.207285779529851,0.835786679263411,1,1,"Not Significant","FTPIG","2a28739b3218cdd4c006bd5c39ceb124","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales_877923","UA16","UBA974",NA
"89",2,4.57900798023778e-08,0.326869248876842,1.40086838880431e-07,0.999999888226874,1,1,"Not Significant","conventional","2a37524a3f276ce7c60708b0146b6392","Bacteria","Bdellovibrionota_E","Bacteriovoracia","Bacteriovoracales","Bacteriovoracaceae","Bacteriovorax",NA
"90",7.5952380952381,0.133751445121735,0.226256868905751,0.591148661115124,0.554420817831992,1,1,"Not Significant","conventional","2b5992865666050476ddc6fe9fc5b201","Bacteria","Cyanobacteria","Cyanobacteriia","PCC-6307","Cyanobiaceae","Cyanobium_A_31520",NA
"91",2,4.57900798023778e-08,0.326869248876842,1.40086838880431e-07,0.999999888226874,1,1,"Not Significant","conventional","2c27c0ee3fe06f77f2bf0dc2de64e62d","Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae","Gracilimonas",NA
"92",1,3.90814484639528e-17,0.451610877740721,8.65378811499537e-17,1,1,1,"Not Significant","conventional","2caacff6275364aad5091dc6f7e4863f","Bacteria","Firmicutes_A","Clostridia_258483","Tissierellales","Sedimentibacteraceae","Sedimentibacter",NA
"93",31.4285714285714,-0.115477203216576,0.0808957173910889,-1.42748228139574,0.153440928840558,1,1,"Not Significant","FTPIG","2cc74e3fa94ca62c938cf8de09c52427","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales_877923","Flavobacteriaceae","MS024-2A",NA
"94",2,-0.0703892740482689,0.328122582230872,-0.214521273024549,0.830140579601483,1,1,"Not Significant","FTPIG","2d87ee978dec05d33dc5bd33b9760355","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Spirosoma",NA
"95",6.33333333333333,-0.133855697803923,0.189719447812169,-0.705545474370378,0.480470842852006,1,1,"Not Significant","FTPIG","2dcd5180350a8571d97ab0202e538cb9","Bacteria","Bdellovibrionota_C","UBA2361","UBA2361","RFPC01","RFPC01",NA
"96",3.02380952380952,0.0726453461948453,0.268395278499951,0.270665514687355,0.786648302337545,1,1,"Not Significant","conventional","2f6fbd314655831442fc80c8331198d1","Bacteria","Proteobacteria","Gammaproteobacteria","DSM-19610","DSM-19610","Thiogranum",NA
"97",1.04761904761905,-0.115477185206454,0.444481417812604,-0.259802053761311,0.795016466669214,1,1,"Not Significant","FTPIG","2fd28262b3a68b2dc6f8c5a5a8cdd5a3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales_595422","Burkholderiaceae_A_595422","Bordetella_A_593886",NA
"98",2.14285714285714,0.157879690533455,0.31520408154703,0.500880857121447,0.616454975596891,1,1,"Not Significant","conventional","2fda6e1beb4e5c4da29a416e1947c912","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","M3007",NA
"99",2.19047619047619,-0.288569419250555,0.320266258208988,-0.901029727153617,0.367572514224148,1,1,"Not Significant","FTPIG","2ff4a743b59b99e2886e87f77477791c","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Yoonia_491068",NA
"100",2.69047619047619,0.594007640499378,0.285520336864355,2.08043898736915,0.0374852863819349,1,1,"Not Significant","conventional","300945a13ba328715d5f6b7878d252d2","Bacteria","Actinobacteriota","Acidimicrobiia_401430","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter_A",NA
"101",9.54761904761905,-0.160936179786665,0.159614748496286,-1.00827887963254,0.313320599304665,1,1,"Not Significant","FTPIG","30138b73178277395ed224cbbd06f7a4","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae_902095","Algoriphagus",NA
"102",1.97619047619048,0.171111942306149,0.32678630229542,0.523620302026801,0.60054265793247,1,1,"Not Significant","conventional","302c1d841551ff5dddc9331ca1ebefa6","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales_595422","Burkholderiaceae_A_595422","NBD-18",NA
"103",5.97619047619048,0.0100537054082826,0.192679055648487,0.0521785067632052,0.958386458718231,1,1,"Not Significant","conventional","311a56a35a4fa50b6832d6050a40d2a3","Bacteria","Desulfobacterota_I","Desulfobacteria","Desulfobacterales","Desulfobacteraceae_459419","Desulfobacula",NA
"104",1.02380952380952,0.078002496501616,0.444978593648573,0.175294941408394,0.860847886402218,1,1,"Not Significant","conventional","313f7f112cb9879cf82a81494daafe40","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales_650612","Cellvibrionaceae","Marinagarivorans",NA
"105",0.976190476190476,-0.0824621428908337,0.458939023336947,-0.179679954629378,0.857403831199232,1,1,"Not Significant","FTPIG","316f34c7bbaf31d1ecfdf6060182539a","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales_877923","Flavobacteriaceae","Aequorivita",NA
"106",1,3.90814484639528e-17,0.451610877740721,8.65378811499537e-17,1,1,1,"Not Significant","conventional","31c0da71d972b6e0a474fbc635413c62","Bacteria","Dependentiae","Babeliae","Babeliales","Chromulinavoraceae","Chromulinavorax",NA
"107",0.976190476190476,0.0614005263901498,0.455624682157272,0.134761194453806,0.89280068822933,1,1,"Not Significant","conventional","31d7d7c89189aa170496adbc5e3ca185","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales_A","Legionellaceae_A","Legionella_B_627867",NA
"108",1.26190476190476,0.0317088834807968,0.403976396502976,0.0784919211995674,0.937436756346154,1,1,"Not Significant","conventional","331bacfe5a570612dbf4166fe28997f1","Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","CGMCC-115125","Pyruvatibacter",NA
"109",22.2380952380952,0.439752388329824,0.119390729797058,3.68330429906342,0.000230230049769335,0.0590540077658346,0.0590540077658346,"Not Significant","conventional","335dcdd47627d4d9df9c2e1f13f9005c","Bacteria","Planctomycetota","Planctomycetia","Pirellulales","UBA1268","UBA1268",NA
"110",1,3.90814484639528e-17,0.451610877740721,8.65378811499537e-17,1,1,1,"Not Significant","conventional","33e43e1f23f7e17939ed463a9f95cfe4","Bacteria","Desulfobacterota_I","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Maridesulfovibrio",NA
"111",9.80952380952381,-0.0799992851842542,0.155197971128795,-0.515466050247943,0.606227387466094,1,1,"Not Significant","FTPIG","33e5d2f9e5f826efa3d5de45e68cdad4","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales_877923","Schleiferiaceae","TMED14",NA
"112",6.42857142857143,-0.0813882819389864,0.192281811246352,-0.423276031213953,0.672093879842381,1,1,"Not Significant","FTPIG","3468430277ce2317dec6f413dcfaa03e","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","LGRT01",NA
